Traditional name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Adelaide Oval,53583,53583,53583,53583,53583,,,40000,,,,,,,
Bellerive Oval,20000,20000,20000,20000,19500,19500,19500,,,,,,,,
Carrara,25000,25000,25000,25000,25000,25000,25000,25000,18000,18000,18000,18000,18000,18000,18000
Docklands,53347,53347,53347,53347,53347,53347,53347,53347,53347,53347,53347,53347,53347,53347,53347
Football Park,,,,,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240,51240
Gabba,36700,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,37000
Kardinia Park,33000,33000,26000,30000,30000,33000,22000,26500,26500,26500,26500,26500,26500,26500,26500
MCG,100024,100024,100024,100024,100024,100024,100024,100024,100024,100024,100024,100024,97431,91898,77671
Manuka Oval,13550,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
Marrara Oval,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,14000,14000,14000
Perth Stadium,60000,60000,60000,60000,,,,,,,,,,,
SCG,48000,48000,48000,48000,48000,44000,44000,44000,44000,44000,44000,44000,46000,46000,46000
Stadium Australia,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500
Subiaco,43082,43082,43082,43082,43082,43082,43082,43082,43082,43082,43082,43082,43082,43082,43082
Sydney Showground,24000,24000,24000,24000,24000,24000,24000,,,,,,,,
York Park,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
