Team,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Adelaide,64739,56865,54307,52920,54249,46405,45105,44719,45515,46472,48720,50976,50138,43256,45642
Brisbane,24867,21362,23286,25408,24012,24130,20762,20792,26779,24873,22737,21976,26459,28913,30221
Carlton,56005,50326,50130,47305,47485,50564,45800,43791,40480,42408,39360,35431,28756,33534,32095
Collingwood,75507,75879,74643,75037,79347,78427,72688,71271,48408,45972,42498,38587,38038,38612,41128
Essendon,79319,67768,57494,60818,60626,56173,47708,42559,40589,40412,41947,32759,32511,32734,32998
Fremantle,55639,51254,51889,51433,48777,43880,42918,42762,39854,39206,43366,43343,35666,34178,32780
Geelong,63818,54854,50571,44312,43803,42884,40205,39343,40326,37160,36850,30169,32290,30821,25021
Gold Coast,12108,11665,12854,13643,13478,12502,11204,11141,,,,,,,
GWS Giants,25243,20944,15312,13480,13040,12681,10241,,,,,,,,
Hawthorn,80302,75663,75351,72924,68650,63353,60841,56224,53978,52496,41436,31064,28003,29261,31255
Melbourne,44275,42233,39146,35953,35911,33177,35459,36937,33358,31506,29619,27777,24698,24805,20647
North Melbourne,40789,40343,45014,41012,39060,34607,33423,28761,26953,28340,32600,22366,24624,24154,23420
Port Adelaide,54386,52129,53743,54057,48968,39838,35543,32581,29092,30605,34185,34073,35648,36834,36340
Richmond,100726,72669,72278,70809,66122,60321,53027,40184,32960,36981,30820,30044,29406,28029,27133
St Kilda,46301,42052,38009,32746,30739,32707,35440,39276,39021,31906,30063,30394,32327,32043,30534
Sydney,60934,58838,56523,48836,40126,36358,29873,27106,28671,26269,26721,28764,30382,24955,25010
West Coast,80290,65064,65188,60221,58529,58501,57377,43216,44160,43927,44863,45949,44138,42406,40792
Western Bulldogs,43246,47653,39459,35222,31538,30209,30007,29710,32077,28215,29306,28725,26042,21974,19295
Total,1008494,907561,875197,836136,804460,756717,707621,650373,602221,586748,575091,532397,519126,506509,494311
